year,month,country,systems_count,total_rmax,total_rpeak,average_rmax,average_power,average_efficiency,highest_rank,total_cores,total_power_kw,month_num,date,power_missing,efficiency_missing,performance_per_core,power_efficiency
1993,June,Australia,8,9.88,19.14,1.235,Unknown,Unknown,127,614,0,6,6/1/1993,1,1,0.016091205,Unknown
1993,June,Austria,1,0.56,0.62,0.56,Unknown,Unknown,408,1,0,6,6/1/1993,1,1,0.56,Unknown
1993,June,Brazil,2,3.5,3.87,1.75,Unknown,Unknown,72,3,0,6,6/1/1993,1,1,1.166666667,Unknown
1993,June,Canada,3,22.54,24.97,7.513333333,Unknown,Unknown,6,7,0,6,6/1/1993,1,1,3.22,Unknown
1993,June,Denmark,2,1.25,1.6,0.625,Unknown,Unknown,323,24,0,6,6/1/1993,1,1,0.052083333,Unknown
1993,June,Finland,2,1.24,1.42,0.62,Unknown,Unknown,308,8,0,6,6/1/1993,1,1,0.155,Unknown
1993,June,France,25,33.45,55.09,1.338,Unknown,Unknown,25,2963,0,6,6/1/1993,1,1,0.011289234,Unknown
1993,June,Germany,56,64.33,95.36,1.14875,Unknown,Unknown,55,8387,0,6,6/1/1993,1,1,0.007670204,Unknown
1993,June,Italy,6,4.3,7.38,0.716666667,Unknown,Unknown,226,326,0,6,6/1/1993,1,1,0.013190184,Unknown
1993,June,Japan,114,211.99,302.9,1.859561404,Unknown,Unknown,5,12423,0,6,6/1/1993,1,1,0.017064316,Unknown
1993,June,Netherlands,5,8.13,10.77,1.626,Unknown,Unknown,42,562,0,6,6/1/1993,1,1,0.014466192,Unknown
1993,June,Norway,2,2.76,3.73,1.38,Unknown,Unknown,182,2052,0,6,6/1/1993,1,1,0.001345029,Unknown
1993,June,Slovenia,1,0.61,0.72,0.61,Unknown,Unknown,357,6,0,6,6/1/1993,1,1,0.101666667,Unknown
1993,June,South Korea,3,3.17,3.95,1.056666667,Unknown,Unknown,197,10,0,6,6/1/1993,1,1,0.317,Unknown
1993,June,Spain,2,2.29,2.67,1.145,Unknown,Unknown,167,3,0,6,6/1/1993,1,1,0.763333333,Unknown
1993,June,Sweden,2,1.24,1.42,0.62,Unknown,Unknown,320,8,0,6,6/1/1993,1,1,0.155,Unknown
1993,June,Switzerland,4,8.17,9.45,2.0425,Unknown,Unknown,44,12,0,6,6/1/1993,1,1,0.680833333,Unknown
